,average_monthly_cost_$,average_yearly_temperature,internet_speed_mbps,safety_index,Healthcare Index
russia,774.0392857142857,11.8,90.4,61.3,61.41
rwanda,677.4250000000001,26.3,41.3,73.1,72.87
saudi arabia,901.7116666666668,32.1,121.87,76.1,61.71
senegal,1216.08,25.7,24.01,34.53333333333333,48.38
serbia,555.6665789473684,17.6,90.89,62.8,51.96
singapore,3434.5750000000003,28.8,345.33,77.4,71.9
slovakia,887.8055,15.0,92.27,69.0,58.6
slovenia,984.7454166666666,14.8,97.18,76.2,66.26
somalia,605.18,28.8,17.82,36.1,40.49
south africa,807.2349999999999,24.1,48.49,25.3,63.83
south korea,904.8475,14.2,199.34,75.1,82.78
spain,1142.1048181818182,18.2,247.94,63.4,77.26
sri lanka,244.798,29.5,24.97,57.9,71.36
sudan,843.38,31.4,77.26666666666667,54.5,46.78
suriname,813.595,25.2,19.19,41.63333333333333,42.62
sweden,1244.9235416666668,11.3,178.91,52.0,68.43
switzerland,2593.175,13.0,245.39,73.5,71.5
syria,424.8675,24.7,3.23,31.9,37.11
taiwan,801.5558333333333,19.066666666666666,226.37,82.9,86.5
tajikistan,582.27,21.2,33.77,43.53333333333333,61.9
tanzania,604.1725,27.8,18.45,46.5,42.14
thailand,602.2233333333334,29.9,238.41,62.7,77.36
togo,639.955,27.9,34.13,51.1,54.17
trinidad & tobago,837.8475,26.1,124.5,29.1,54.09
tunisia,283.08892857142854,24.4,12.8,54.9,57.17
turkey,359.521375,25.03333333333333,50.71,58.8,71.22
turkmenistan,2617.4,22.3,3.78,35.5,49.83
uganda,473.2325000000001,27.0,25.96,45.9,50.05
ukraine,437.6436206896552,14.5,84.48,53.0,55.74
united arab emirates,2851.18,31.8,313.55,84.5,70.63
united kingdom,1738.7716981132075,13.0,135.66,51.7,72.92
united states,2307.896906354515,8.1,279.93,50.8,67.86
uruguay,909.28875,14.9,154.17,48.0,68.57
uzbekistan,418.35,20.9,81.78,72.1,61.82
venezuela,573.7760000000001,23.0,83.91,19.3,38.69
vietnam,539.5516666666666,25.2,164.77,59.2,61.32
yemen,708.6824999999999,23.2,11.21,36.3,25.31
zambia,688.5800000000002,26.9,22.24,54.4,54.44
zimbabwe,671.9625000000001,25.8,26.48,39.3,44.8
